FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year
44,Rhode Island,2058,4370,556,5955,2013
45,South Carolina,3218,7283,1284,9399,2013
46,South Dakota,1717,5101,510,6374,2013
47,Tennessee,1622,4081,707,5063,2013
48,Texas,2805,7799,1685,9181,2013
49,Utah,4544,8047,642,12089,2013
50,Vermont,2004,4299,355,6020,2013
51,Virginia,2403,5908,767,7617,2013
53,Washington,3742,7276,581,10554,2013
54,West Virginia,1835,3963,749,5134,2013
55,Wisconsin,2096,4429,405,6131,2013
56,Wyoming,1744,4612,331,6103,2013
66,Guam,616,1263,217,1680,2013
72,Puerto Rico,1402,4557,1374,4626,2013
1,Alabama,3217,5606,1249,7758,2012
2,Alaska,1250,3005,303,4030,2012
4,Arizona,2281,4907,658,6617,2012
5,Arkansas,1755,3305,691,4481,2012
6,California,5223,9272,1758,12591,2012
8,Colorado,3921,8180,765,11442,2012
9,Connecticut,2873,5759,558,8186,2012
10,Delaware,1581,3561,336,4831,2012
11,District of Columbia,1164,2576,264,3543,2012
12,Florida,2421,4993,666,6922,2012
13,Georgia,1802,4194,787,5270,2012
15,Hawaii,2174,5326,313,7260,2012
16,Idaho,1933,3836,438,5442,2012
17,Illinois,1923,3631,364,5214,2012
18,Indiana,3049,5413,849,7776,2012
19,Iowa,1943,5129,495,6658,2012
20,Kansas,3168,8465,726,11055,2012
21,Kentucky,3888,7110,1418,9749,2012
22,Louisiana,2700,6234,1358,7690,2012
23,Maine,3352,6407,536,9368,2012
24,Maryland,3715,8834,869,11869,2012
25,Massachusetts,7228,14121,1905,19605,2012
26,Michigan,3536,6842,670,9809,2012
27,Minnesota,3634,8444,578,11588,2012
28,Mississippi,2245,5376,1323,6446,2012
29,Missouri,2040,4609,719,6024,2012
30,Montana,2710,5824,620,8037,2012
31,Nebraska,5412,13523,1305,17834,2012
32,Nevada,1658,3101,447,4390,2012
33,New Hampshire,2319,5105,406,7108,2012
34,New Jersey,4574,10828,1205,14393,2012
35,New Mexico,2870,5804,1053,7691,2012
36,New York,2135,3765,520,5513,2012
37,North Carolina,3504,8178,1504,10352,2012
38,North Dakota,1387,3389,339,4534,2012
39,Ohio,4120,8667,1029,11933,2012
40,Oklahoma,2529,5378,952,7055,2012
41,Oregon,1834,3362,310,4972,2012
42,Pennsylvania,6351,13185,1461,18456,2012
44,Rhode Island,1860,3531,490,4971,2012
45,South Carolina,3946,8552,1594,11162,2012
46,South Dakota,2006,5743,609,7255,2012
47,Tennessee,1932,4976,925,6096,2012
48,Texas,2853,6080,1356,7742,2012
49,Utah,4266,7952,649,11743,2012
50,Vermont,1969,4005,380,5659,2012
51,Virginia,2005,5241,615,6734,2012
53,Washington,5249,9875,856,14427,2012
54,West Virginia,1677,3649,771,4633,2012
55,Wisconsin,1655,3582,342,4940,2012
56,Wyoming,1776,4401,342,5904,2012
66,Guam,560,1429,233,1791,2012
72,Puerto Rico,1353,4883,1442,4866,2012
1,Alabama,2592,4967,1218,6453,2011
2,Alaska,1079,2343,265,3268,2011
4,Arizona,2106,4305,607,5865,2011
5,Arkansas,1526,3091,651,4076,2011
6,California,6449,11453,2067,15732,2011
8,Colorado,4103,9255,825,12752,2011
9,Connecticut,2246,4497,484,6324,2011
10,Delaware,1391,3357,296,4467,2011
11,District of Columbia,1417,3077,293,4248,2011
12,Florida,3909,8113,1236,11110,2011
13,Georgia,2849,6818,1149,8751,2011
15,Hawaii,2081,5453,380,7215,2011
16,Idaho,1990,3990,442,5623,2011
17,Illinois,1973,3465,374,5097,2011
18,Indiana,2786,5463,862,7604,2011
19,Iowa,1922,5323,498,6839,2011
20,Kansas,5755,14666,1365,19314,2011
21,Kentucky,3676,6985,1637,9175,2011
22,Louisiana,3372,7387,1651,9258,2011
23,Maine,4407,8572,790,12425,2011
24,Maryland,2903,7032,645,9416,2011
25,Massachusetts,6998,14751,1820,20331,2011
26,Michigan,3633,7282,744,10284,2011
27,Minnesota,4671,10389,698,14642,2011
28,Mississippi,2687,6067,1471,7417,2011
29,Missouri,1882,4420,678,5710,2011
30,Montana,3240,6842,751,9493,2011
31,Nebraska,7425,17611,1898,23464,2011
32,Nevada,1731,3675,371,5106,2011
33,New Hampshire,2001,4260,368,5974,2011
34,New Jersey,4553,10180,1191,14037,2011
35,New Mexico,2962,6320,1108,8285,2011
36,New York,2602,4900,695,6992,2011
37,North Carolina,3299,8019,1461,10054,2011
38,North Dakota,1528,3666,362,4935,2011
39,Ohio,3175,6567,725,9181,2011
40,Oklahoma,2807,5579,1035,7478,2011
41,Oregon,2038,4085,309,5910,2011
42,Pennsylvania,3895,7339,918,10556,2011
44,Rhode Island,2226,4212,560,5956,2011
45,South Carolina,3934,8653,1795,11117,2011
46,South Dakota,2074,6055,669,7576,2011
47,Tennessee,1445,4342,787,5104,2011
48,Texas,4484,10044,2134,12786,2011
49,Utah,4418,8052,693,11934,2011
50,Vermont,2318,4656,452,6631,2011
51,Virginia,1832,4615,602,5962,2011
53,Washington,4592,9951,893,13829,2011
54,West Virginia,1693,3503,754,4518,2011
55,Wisconsin,1628,3611,377,4879,2011
56,Wyoming,2161,4587,416,6429,2011
66,Guam,462,1395,237,1645,2011
72,Puerto Rico,1463,5073,1716,4889,2011
1,Alabama,2385,5102,1193,6453,2010
2,Alaska,603,1287,144,1817,2010
4,Arizona,1805,3884,639,5106,2010
5,Arkansas,1219,2701,523,3496,2010
6,California,6333,11327,2348,15200,2010
8,Colorado,3613,7883,658,10977,2010
9,Connecticut,2125,4553,459,6298,2010
10,Delaware,1253,2952,278,3955,2010
11,District of Columbia,1181,2732,255,3708,2010
12,Florida,10839,23358,3582,31420,2010
13,Georgia,1631,4026,691,5067,2010
15,Hawaii,1716,4777,327,6218,2010
16,Idaho,2232,4643,596,6403,2010
17,Illinois,1930,3244,354,4845,2010
18,Indiana,3378,6626,991,9202,2010
19,Iowa,1551,4456,403,5685,2010
20,Kansas,2317,6135,538,8023,2010
21,Kentucky,2811,5111,1228,6795,2010
22,Louisiana,2126,4795,863,6159,2010
23,Maine,2588,5394,529,7590,2010
24,Maryland,2608,6313,633,8505,2010
25,Massachusetts,4862,11103,1542,14644,2010
26,Michigan,2885,5871,623,8219,2010
27,Minnesota,2408,6344,442,8497,2010
28,Mississippi,2377,5553,1457,6614,2010
29,Missouri,1658,3690,596,4823,2010
30,Montana,2332,4846,552,6741,2010
31,Nebraska,4594,11511,1236,15122,2010
32,Nevada,1265,2615,273,3629,2010
33,New Hampshire,1803,4175,331,5702,2010
34,New Jersey,3653,8360,859,11458,2010
35,New Mexico,2203,4694,793,6185,2010
36,New York,2948,5762,655,8252,2010
37,North Carolina,3459,8477,1544,10575,2010
38,North Dakota,1287,3388,332,4424,2010
39,Ohio,3169,6492,784,9032,2010
40,Oklahoma,2442,5167,992,6738,2010
41,Oregon,1634,3344,300,4725,2010
42,Pennsylvania,3565,7436,877,10340,2010
44,Rhode Island,2157,4365,597,5994,2010
45,South Carolina,2710,6431,1384,8029,2010
46,South Dakota,1554,5054,606,6108,2010
47,Tennessee,1345,4320,841,4902,2010
48,Texas,5660,11791,2886,15128,2010
49,Utah,3424,6573,537,9609,2010
50,Vermont,2225,4456,400,6387,2010
51,Virginia,1472,3802,562,4792,2010
53,Washington,6051,13282,1175,18384,2010
54,West Virginia,1373,2965,666,3728,2010
55,Wisconsin,1514,3210,375,4375,2010
56,Wyoming,1787,3950,330,5498,2010
66,Guam,172,593,105,679,2010
72,Puerto Rico,771,2704,1087,2446,2010
1,Alabama,2153,4463,971,5796,2009
2,Alaska,738,1625,178,2250,2009
4,Arizona,1736,3667,555,4901,2009
5,Arkansas,1207,2697,511,3489,2009
6,California,6092,11224,2367,14733,2009
8,Colorado,3605,8163,742,11180,2009
9,Connecticut,1968,4446,389,6084,2009
10,Delaware,1293,3022,322,4034,2009
11,District of Columbia,1202,2642,263,3629,2009
12,Florida,3134,8619,1271,10724,2009
13,Georgia,1538,4223,679,5183,2009
15,Hawaii,1862,4780,333,6344,2009
16,Idaho,1661,3654,474,4905,2009
17,Illinois,2067,3752,373,5467,2009
18,Indiana,3023,6071,925,8347,2009
19,Iowa,1545,4396,393,5612,2009
20,Kansas,5216,13486,1181,17704,2009
21,Kentucky,3410,6126,1515,8096,2009
22,Louisiana,2501,6264,1196,7673,2009
23,Maine,2598,5344,472,7599,2009
24,Maryland,2603,5837,568,7990,2009
25,Massachusetts,5276,11121,1788,14844,2009
26,Michigan,2974,6129,682,8548,2009
