FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_fruit,have_fruit,have_no_vegetables,have_vegetables,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_fruit,p_have_no_fruit,p_have_vegetables,p_have_no_vegetables
15,Hawaii,2121,5662,285,7154,331,7076,2013,0.27251702428369523,0.7274829757163047,0.9616883989783573,0.038311601021642695,0.9553125421898204,0.04468745781017956
16,Idaho,1823,3700,185,5099,438,4834,2013,0.3300742350172008,0.6699257649827992,0.964988644965935,0.0350113550340651,0.9169195751138088,0.0830804248861912
17,Illinois,1904,3660,178,5186,452,4890,2013,0.3421998562185478,0.6578001437814522,0.9668158090976883,0.03318419090231171,0.9153874953201049,0.08461250467989517
18,Indiana,3253,6835,450,9164,1008,8568,2013,0.32246233148295006,0.67753766851705,0.9531932598294154,0.04680674017058457,0.8947368421052632,0.10526315789473684
19,Iowa,2139,5919,186,7516,674,6988,2013,0.2654504839910648,0.7345495160089353,0.9758504284601403,0.024149571539859777,0.912033411641869,0.08796658835813104
20,Kansas,6341,16631,897,21245,2241,19846,2013,0.27603169075396133,0.7239683092460386,0.9594887544033963,0.04051124559660374,0.8985376013039345,0.10146239869606556
21,Kentucky,3734,7117,437,9716,1200,8935,2013,0.3441157497004884,0.6558842502995116,0.9569585344233231,0.043041465576676846,0.8815984213122842,0.11840157868771584
22,Louisiana,1557,3590,278,4631,495,4412,2013,0.3025063143578784,0.6974936856421217,0.9433693216541047,0.056630678345895295,0.899123700835541,0.10087629916445894
23,Maine,2556,5394,266,7474,498,7228,2013,0.32150943396226417,0.6784905660377358,0.9656330749354005,0.034366925064599485,0.9355423246181724,0.06445767538182759
24,Maryland,3794,8985,449,11704,579,11543,2013,0.29689334063698253,0.7031066593630174,0.9630543898625854,0.03694561013741463,0.9522356046856955,0.04776439531430457
25,Massachusetts,5097,9695,565,13099,866,12755,2013,0.3445781503515414,0.6554218496484586,0.958650468384075,0.041349531615925056,0.93642170178401,0.06357829821599001
26,Michigan,4171,8430,359,11850,930,11250,2013,0.3310054757558924,0.6689945242441077,0.97059546236383,0.029404537636170038,0.9236453201970444,0.07635467980295567
27,Minnesota,4067,10091,331,13055,863,12472,2013,0.28725808730046615,0.7127419126995338,0.9752726729418796,0.024727327058120425,0.9352830896137982,0.06471691038620173
28,Mississippi,2117,5181,448,6495,760,6183,2013,0.2900794738284462,0.7099205261715539,0.9354745787123722,0.06452542128762782,0.8905372317442027,0.1094627682557972
29,Missouri,2127,4901,283,6475,709,6046,2013,0.3026465566306204,0.6973534433693797,0.9581237052382362,0.041876294761763834,0.895040710584752,0.10495928941524796
30,Montana,2912,6654,339,8855,878,8312,2013,0.30441145724440727,0.6955885427555927,0.9631281270393734,0.036871872960626495,0.9044613710554951,0.09553862894450489
31,Nebraska,4516,12373,594,15584,1998,14112,2013,0.2673929776777784,0.7326070223222215,0.9632834713808877,0.03671652861911238,0.8759776536312849,0.12402234636871508
32,Nevada,1662,3341,179,4626,289,4492,2013,0.33220067959224464,0.6677993204077554,0.9627471383975026,0.0372528616024974,0.9395523948964651,0.06044760510353483
33,New Hampshire,1891,4487,229,5811,341,5682,2013,0.2964879272499216,0.7035120727500784,0.9620860927152318,0.03791390728476821,0.9433836958326416,0.05661630416735846
34,New Jersey,3991,9005,514,11604,601,11447,2013,0.30709449061249616,0.6929055093875038,0.9575837596963195,0.04241624030368048,0.9501162018592297,0.04988379814077025
35,New Mexico,2800,6364,328,8251,704,7828,2013,0.30554343081623747,0.6944565691837625,0.9617671057232777,0.03823289427672223,0.9174871073605251,0.08251289263947492
36,New York,2912,5818,334,7938,477,7740,2013,0.3335624284077892,0.6664375715922107,0.9596228239845261,0.04037717601547389,0.9419496166484118,0.05805038335158817
37,North Carolina,2507,6195,379,7962,641,7719,2013,0.28809469087566075,0.7119053091243392,0.9545618031411102,0.04543819685888982,0.9233253588516747,0.07667464114832535
38,North Dakota,2111,5506,280,7101,914,6430,2013,0.2771432322436655,0.7228567677563346,0.9620647608725105,0.0379352391274895,0.8755446623093682,0.12445533769063181
39,Ohio,3620,8131,430,10707,1020,10080,2013,0.30805888860522507,0.6919411113947749,0.9613899613899614,0.03861003861003861,0.9081081081081082,0.0918918918918919
40,Oklahoma,2502,5612,412,7376,793,6979,2013,0.3083559280256347,0.6916440719743653,0.9470980996404725,0.05290190035952748,0.8979670612454966,0.10203293875450335
41,Oregon,2149,3712,122,5336,317,5123,2013,0.36666097935505887,0.6333390206449412,0.9776474899230487,0.022352510076951264,0.9417279411764706,0.05827205882352941
42,Pennsylvania,3683,7510,470,10169,931,9663,2013,0.32904493880103636,0.6709550611989636,0.9558229156875646,0.04417708431243538,0.9121200679629979,0.08787993203700208
44,Rhode Island,2058,4370,268,5727,396,5574,2013,0.32016179215930307,0.6798382078406969,0.9552960800667223,0.044703919933277735,0.9336683417085427,0.06633165829145729
45,South Carolina,3218,7283,476,9588,731,9324,2013,0.30644700504713834,0.6935529949528616,0.9527027027027027,0.0472972972972973,0.9272998508204873,0.07270014917951267
46,South Dakota,1717,5101,117,6472,461,6075,2013,0.25183338222352597,0.7481666177764741,0.9822431324935499,0.017756867506450145,0.929467564259486,0.07053243574051407
47,Tennessee,1622,4081,231,4937,464,4672,2013,0.28441171313343855,0.7155882868665615,0.9553018575851393,0.044698142414860684,0.9096573208722741,0.09034267912772585
48,Texas,2805,7799,430,9657,795,9244,2013,0.2645228215767635,0.7354771784232366,0.9573708734014078,0.04262912659859225,0.92080884550254,0.0791911544974599
49,Utah,4544,8047,293,11688,746,11206,2013,0.36089270113573185,0.6391072988642681,0.9755446123028128,0.024455387697187213,0.9375836680053548,0.06241633199464525
50,Vermont,2004,4299,240,5802,351,5651,2013,0.3179438362684436,0.6820561637315564,0.9602780536246276,0.039721946375372394,0.9415194935021659,0.05848050649783405
51,Virginia,2403,5908,235,7544,419,7338,2013,0.28913488148237276,0.7108651185176272,0.9697904614989074,0.030209538501092686,0.9459842722702075,0.05401572772979245
53,Washington,3742,7276,262,10491,612,10089,2013,0.33962606643673987,0.6603739335632601,0.9756347065935088,0.024365293406491212,0.9428090832632464,0.057190916736753576
