FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year,p_have_mentalhealth,p_have_no_mentalhealth,p_have_alcohol,p_have_no_alcohol,p_smoker,p_no_smoker
40,Oklahoma,2502,5612,5100,2939,6566,1567,2013,0.3083559280256347,0.6916440719743653,0.3655927354148526,0.6344072645851474,0.19267183081273823,0.8073281691872618
41,Oregon,2149,3712,2246,3410,4984,800,2013,0.36666097935505887,0.6333390206449412,0.6028995756718529,0.39710042432814713,0.13831258644536654,0.8616874135546335
42,Pennsylvania,3683,7510,5321,5601,9106,2003,2013,0.32904493880103636,0.6709550611989636,0.512818165171214,0.4871818348287859,0.1803042578089837,0.8196957421910163
44,Rhode Island,2058,4370,2421,3704,5337,909,2013,0.32016179215930307,0.6798382078406969,0.604734693877551,0.395265306122449,0.14553314121037464,0.8544668587896254
45,South Carolina,3218,7283,5745,4559,8687,1794,2013,0.30644700504713834,0.6935529949528616,0.4424495341614907,0.5575504658385093,0.1711668733899437,0.8288331266100563
46,South Dakota,1717,5101,3057,3584,5562,1207,2013,0.25183338222352597,0.7481666177764741,0.5396777593735883,0.4603222406264117,0.1783128970305806,0.8216871029694194
47,Tennessee,1622,4081,3666,1680,4292,1175,2013,0.28441171313343855,0.7155882868665615,0.31425364758698093,0.6857463524130191,0.21492591915127127,0.7850740808487288
48,Texas,2805,7799,5687,4638,9129,1465,2013,0.2645228215767635,0.7354771784232366,0.4492009685230024,0.5507990314769976,0.13828582216348878,0.8617141778365113
49,Utah,4544,8047,8965,3376,11349,1102,2013,0.36089270113573185,0.6391072988642681,0.27355967911838586,0.7264403208816141,0.08850694723315396,0.911493052766846
50,Vermont,2004,4299,2387,3782,5362,879,2013,0.3179438362684436,0.6820561637315564,0.6130653266331658,0.3869346733668342,0.14084281365165838,0.8591571863483416
51,Virginia,2403,5908,3925,4013,6698,1393,2013,0.28913488148237276,0.7108651185176272,0.5055429579239104,0.4944570420760897,0.17216660486960822,0.8278333951303918
53,Washington,3742,7276,4527,6344,9569,1427,2013,0.33962606643673987,0.6603739335632601,0.5835709686321405,0.41642903136785947,0.12977446344125138,0.8702255365587487
