FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_highschool,highschool,year,p_have_mentalhealth,p_have_no_mentalhealth,p_highschool,p_no_highschool
51,Virginia,2327,6169,631,7983,2015,0.2738935969868173,0.7261064030131826,0.9267471557928952,0.07325284420710472
53,Washington,5236,10650,802,15234,2015,0.3295983885181921,0.6704016114818079,0.9499875280618608,0.05001247193813919
54,West Virginia,1880,3982,711,5225,2015,0.3207096554077107,0.6792903445922893,0.880222371967655,0.11977762803234501
55,Wisconsin,1975,4160,354,5817,2015,0.32192339038304807,0.6780766096169519,0.9426349052017501,0.05736509479824988
56,Wyoming,1505,3893,251,5215,2015,0.2788069655427936,0.7211930344572064,0.9540797658251006,0.04592023417489938
66,Guam,520,1143,131,1532,2015,0.3126879134095009,0.6873120865904991,0.9212266987372218,0.07877330126277811
72,Puerto Rico,1179,4183,1119,4261,2015,0.21988064155165982,0.7801193584483401,0.7920074349442379,0.20799256505576208
1,Alabama,2906,5568,1063,7553,2014,0.34293131932971443,0.6570686806702856,0.8766248839368617,0.12337511606313835
2,Alaska,1358,2933,232,4114,2014,0.3164763458401305,0.6835236541598695,0.946617579383341,0.053382420616658995
4,Arizona,4180,10453,1129,13587,2014,0.2856557096972596,0.7143442903027404,0.9232807828214189,0.07671921717858114
5,Arkansas,1559,3566,604,4598,2014,0.3041951219512195,0.6958048780487804,0.8838908112264514,0.11610918877354863
6,California,2987,5771,1084,7495,2014,0.34105960264900664,0.6589403973509934,0.8736449469635156,0.12635505303648445
8,Colorado,4134,9053,767,12541,2014,0.31349055888374916,0.6865094411162509,0.942365494439435,0.057634505560565076
9,Connecticut,2428,5410,517,7356,2014,0.309772901250319,0.690227098749681,0.9343325288962276,0.06566747110377238
10,Delaware,1162,3041,401,3860,2014,0.2764691886747561,0.7235308113252439,0.9058906360009388,0.09410936399906125
11,District of Columbia,1099,2894,257,3769,2014,0.27523165539694466,0.7247683446030554,0.9361649279682066,0.06383507203179334
12,Florida,2773,6771,727,8972,2014,0.2905490360435876,0.7094509639564124,0.9250438189504072,0.07495618104959274
13,Georgia,1974,4267,704,5603,2014,0.3162954654702772,0.6837045345297228,0.8883779927065165,0.11162200729348343
15,Hawaii,2017,5176,347,6841,2014,0.2804115111914361,0.7195884888085639,0.9517250973845298,0.048274902615470225
16,Idaho,1744,3622,381,5071,2014,0.3250093179276929,0.6749906820723072,0.9301173881144534,0.06988261188554659
17,Illinois,1732,3279,329,4695,2014,0.3456395928956296,0.6543604071043704,0.9345143312101911,0.06548566878980892
18,Indiana,3657,7599,1011,10422,2014,0.32489339019189767,0.6751066098081023,0.911571765940698,0.08842823405930202
19,Iowa,2196,5811,488,7609,2014,0.2742600224803297,0.7257399775196703,0.9397307644806718,0.06026923551932815
20,Kansas,3650,9850,836,12831,2014,0.27037037037037037,0.7296296296296296,0.9388307602253604,0.061169239774639644
21,Kentucky,3417,7605,1211,9924,2014,0.31001633097441483,0.6899836690255852,0.8912438257745846,0.10875617422541535
22,Louisiana,2115,4529,819,5923,2014,0.3183323299217339,0.6816676700782661,0.878522693562741,0.12147730643725897
23,Maine,2983,5963,470,8586,2014,0.333445115135256,0.666554884864744,0.9481007067137809,0.05189929328621908
24,Maryland,3672,8686,688,11791,2014,0.2971354588121055,0.7028645411878944,0.9448673771936854,0.05513262280631461
25,Massachusetts,4915,10416,985,14463,2014,0.32059226404018004,0.67940773595982,0.9362377006732263,0.06376229932677369
26,Michigan,2749,5587,455,7974,2014,0.32977447216890593,0.670225527831094,0.9460196939138688,0.05398030608613121
