FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_internet,internet,year,p_have_mentalhealth,p_have_no_mentalhealth,p_internet,p_no_internet
38,North Dakota,1999,4889,1348,5517,2017,0.2902148664343786,0.7097851335656213,0.8036416605972323,0.19635833940276767
39,Ohio,3919,8152,2614,9561,2017,0.32466241405020296,0.675337585949797,0.7852977412731006,0.21470225872689938
40,Oklahoma,2056,4432,1404,5165,2017,0.31689272503082616,0.6831072749691739,0.7862688384837875,0.21373116151621252
41,Oregon,2049,3226,591,4734,2017,0.388436018957346,0.6115639810426541,0.8890140845070422,0.11098591549295775
42,Pennsylvania,2407,4070,1094,5398,2017,0.37162266481395706,0.6283773351860429,0.8314849044978435,0.1685150955021565
44,Rhode Island,1839,3735,910,4656,2017,0.32992465016146394,0.670075349838536,0.8365073661516349,0.16349263384836507
45,South Carolina,3521,7506,2863,8334,2017,0.319307155164596,0.680692844835404,0.7443065106725015,0.2556934893274984
46,South Dakota,1830,5080,1491,5472,2017,0.26483357452966716,0.7351664254703328,0.7858681602757432,0.21413183972425678
47,Tennessee,1937,3767,1302,4466,2017,0.33958625525946706,0.6604137447405329,0.7742718446601942,0.22572815533980584
48,Texas,3693,8319,2638,9463,2017,0.30744255744255744,0.6925574425574426,0.7820014874803736,0.2179985125196265
49,Utah,3771,6344,1026,9158,2017,0.3728126544735541,0.6271873455264458,0.8992537313432836,0.10074626865671642
50,Vermont,2144,4299,951,5490,2017,0.3327642402607481,0.6672357597392519,0.8523521192361434,0.14764788076385654
51,Virginia,2847,6619,1597,7939,2017,0.3007606169448553,0.6992393830551448,0.8325293624161074,0.1674706375838926
53,Washington,4567,8485,1680,11442,2017,0.34990806006742264,0.6500919399325774,0.871970736168267,0.12802926383173296
54,West Virginia,1865,3529,1361,4077,2017,0.3457545420837968,0.6542454579162031,0.7497241632953292,0.25027583670467085
55,Wisconsin,1957,3804,860,4837,2017,0.3396979691025864,0.6603020308974137,0.8490433561523609,0.1509566438476391
56,Wyoming,1279,3138,738,3704,2017,0.28956305184514375,0.7104369481548563,0.8338586222422333,0.16614137775776677
66,Guam,497,998,316,1174,2017,0.33244147157190634,0.6675585284280936,0.7879194630872484,0.21208053691275167
72,Puerto Rico,992,3440,1805,2666,2017,0.22382671480144403,0.776173285198556,0.596287184075151,0.40371281592484903
1,Alabama,2452,4415,1850,5094,2016,0.35707004514343965,0.6429299548565603,0.7335829493087558,0.2664170506912442
