FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_workout,workout,year,p_have_mentalhealth,p_have_no_mentalhealth,p_workout,p_no_workout
37,North Carolina,1533,3315,1246,3365,2017,0.3162128712871287,0.6837871287128713,0.7297766211234006,0.2702233788765994
38,North Dakota,1999,4889,1930,4634,2017,0.2902148664343786,0.7097851335656213,0.7059719683120049,0.29402803168799513
39,Ohio,3919,8152,3721,7796,2017,0.32466241405020296,0.675337585949797,0.6769123903794391,0.32308760962056093
40,Oklahoma,2056,4432,2091,4036,2017,0.31689272503082616,0.6831072749691739,0.6587236820629998,0.34127631793700014
41,Oregon,2049,3226,1004,3906,2017,0.388436018957346,0.6115639810426541,0.7955193482688391,0.2044806517311609
42,Pennsylvania,2407,4070,1460,4638,2017,0.37162266481395706,0.6283773351860429,0.7605772384388324,0.2394227615611676
44,Rhode Island,1839,3735,1336,3805,2017,0.32992465016146394,0.670075349838536,0.7401283796926668,0.2598716203073332
45,South Carolina,3521,7506,3134,7394,2017,0.319307155164596,0.680692844835404,0.7023176291793313,0.2976823708206687
46,South Dakota,1830,5080,1761,4892,2017,0.26483357452966716,0.7351664254703328,0.735307380129265,0.264692619870735
47,Tennessee,1937,3767,1673,3599,2017,0.33958625525946706,0.6604137447405329,0.6826631259484067,0.31733687405159333
48,Texas,3693,8319,3548,7594,2017,0.30744255744255744,0.6925574425574426,0.6815652486088674,0.31843475139113264
49,Utah,3771,6344,2141,7673,2017,0.3728126544735541,0.6271873455264458,0.7818422661503974,0.2181577338496026
50,Vermont,2144,4299,1261,4701,2017,0.3327642402607481,0.6672357597392519,0.7884937940288493,0.2115062059711506
51,Virginia,2847,6619,2349,6674,2017,0.3007606169448553,0.6992393830551448,0.739665299789427,0.260334700210573
53,Washington,4567,8485,2421,9962,2017,0.34990806006742264,0.6500919399325774,0.8044900266494387,0.19550997335056125
54,West Virginia,1865,3529,1726,3560,2017,0.3457545420837968,0.6542454579162031,0.6734771093454408,0.3265228906545592
55,Wisconsin,1957,3804,1183,4075,2017,0.3396979691025864,0.6603020308974137,0.7750095093191327,0.22499049068086724
56,Wyoming,1279,3138,1164,3118,2017,0.28956305184514375,0.7104369481548563,0.7281644091546007,0.2718355908453993
66,Guam,497,998,436,948,2017,0.33244147157190634,0.6675585284280936,0.684971098265896,0.315028901734104
72,Puerto Rico,992,3440,2369,2052,2017,0.22382671480144403,0.776173285198556,0.4641483827188419,0.5358516172811582
1,Alabama,2452,4415,2178,4835,2016,0.35707004514343965,0.6429299548565603,0.689433908455725,0.3105660915442749
2,Alaska,949,1893,593,2317,2016,0.33391977480647433,0.6660802251935257,0.7962199312714776,0.20378006872852233
4,Arizona,3158,7643,2809,8112,2016,0.2923803351541524,0.7076196648458476,0.7427891218752861,0.2572108781247138
5,Arkansas,1600,3596,1893,3392,2016,0.30792917628945343,0.6920708237105466,0.6418164616840114,0.35818353831598865
