FIPS,Name,have_mentalhealth,have_no_mentalhealth,have_no_alcohol,have_alcohol,no_smoker,smoker,year
31,Nebraska,4594,11511,8084,8002,14055,2293,2010
32,Nevada,1265,2615,1770,2031,3160,745,2010
33,New Hampshire,1803,4175,2417,3479,5113,910,2010
34,New Jersey,3653,8360,5472,6224,10555,1815,2010
35,New Mexico,2203,4694,3867,2968,5862,1114,2010
36,New York,2948,5762,3929,4736,7632,1267,2010
37,North Carolina,3459,8477,7312,4566,10056,2029,2010
38,North Dakota,1287,3388,2175,2453,4014,735,2010
39,Ohio,3169,6492,5210,4330,7819,1985,2010
40,Oklahoma,2442,5167,5121,2496,6149,1575,2010
41,Oregon,1634,3344,2197,2653,4374,665,2010
42,Pennsylvania,3565,7436,5740,5221,9245,1925,2010
44,Rhode Island,2157,4365,2773,3714,5624,953,2010
45,South Carolina,2710,6431,5918,3258,7830,1536,2010
46,South Dakota,1554,5054,3352,3194,5641,1054,2010
47,Tennessee,1345,4320,4488,1070,4708,1031,2010
48,Texas,5660,11791,10413,7177,15340,2627,2010
49,Utah,3424,6573,7496,2522,9236,893,2010
50,Vermont,2225,4456,2667,3986,5860,905,2010
51,Virginia,1472,3802,2816,2305,4474,884,2010
53,Washington,6051,13282,8462,10557,16823,2673,2010
54,West Virginia,1373,2965,3395,949,3413,980,2010
55,Wisconsin,1514,3210,1894,2664,3961,805,2010
56,Wyoming,1787,3950,2938,2767,4799,1016,2010
66,Guam,172,593,501,271,608,175,2010
72,Puerto Rico,771,2704,2779,700,3228,312,2010
1,Alabama,2153,4463,4701,1905,5474,1282,2009
2,Alaska,738,1625,1100,1224,1900,511,2009
4,Arizona,1736,3667,2828,2488,4623,831,2009
5,Arkansas,1207,2697,2568,1315,3249,742,2009
6,California,6092,11224,7406,8689,14519,1871,2009
8,Colorado,3605,8163,4770,6086,10153,1749,2009
9,Connecticut,1968,4446,2453,3856,5625,840,2009
10,Delaware,1293,3022,2079,2205,3616,733,2009
