FIPS,Name,have_mentalhealth,have_no_mentalhealth,no_internet,internet,year
24,Maryland,2848,5856,-1,-1,2007
25,Massachusetts,6914,14284,-1,-1,2007
26,Michigan,2616,4762,-1,-1,2007
27,Minnesota,1345,3413,-1,-1,2007
28,Mississippi,2447,5195,-1,-1,2007
29,Missouri,1750,3456,-1,-1,2007
30,Montana,1919,3992,-1,-1,2007
31,Nebraska,2856,7922,-1,-1,2007
32,Nevada,1533,2549,-1,-1,2007
33,New Hampshire,1940,3973,-1,-1,2007
34,New Jersey,2278,4851,-1,-1,2007
35,New Mexico,2112,4407,-1,-1,2007
36,New York,2087,4305,-1,-1,2007
37,North Carolina,4316,10194,-1,-1,2007
38,North Dakota,1318,3338,-1,-1,2007
39,Ohio,3749,7271,-1,-1,2007
40,Oklahoma,2305,5012,-1,-1,2007
41,Oregon,1519,3371,-1,-1,2007
42,Pennsylvania,4220,8754,-1,-1,2007
44,Rhode Island,1464,2970,-1,-1,2007
45,South Carolina,3100,7042,-1,-1,2007
46,South Dakota,1716,5034,-1,-1,2007
47,Tennessee,1301,3652,-1,-1,2007
48,Texas,5161,11750,-1,-1,2007
49,Utah,1750,3216,-1,-1,2007
50,Vermont,2178,4654,-1,-1,2007
51,Virginia,1861,4245,-1,-1,2007
53,Washington,8381,17165,-1,-1,2007
54,West Virginia,1285,3101,-1,-1,2007
55,Wisconsin,2306,5063,-1,-1,2007
56,Wyoming,1968,4098,-1,-1,2007
66,Guam,170,473,-1,-1,2007
72,Puerto Rico,1031,2801,-1,-1,2007
